Symbol,Name,Industry
MUKANDLTD,MUKAND LTD.,Iron & Steel/Interm.Products
AGCNET,AGC Networks Limited,IT Consulting & Software
UCALFUEL,UCAL FUEL SYSTEMS LTD.,Auto Parts & Equipment
HARRMALAYA,HARRISONS MALAYALAM LTD.,Auto Tyres & Rubber Products
FEDERALBNK,FEDERAL BANK LTD.,Banks
TATASTEEL,TATA STEEL LTD.,Iron & Steel/Interm.Products
SKFINDIA,SKF India Ltd,Other Industrial Goods
ASHOKLEY,ASHOK LEYLAND LTD.,Commercial Vehicles
CUMMINSIND,CUMMINS INDIA LTD.,Industrial Machinery
TATACOMM,TATA COMMUNICATIONS LTD.,Telecom - Alternate Carriers
ABBOTINDIA,ABBOTT INDIA LTD.,Pharmaceuticals
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Holding Companies
BHARATFORG,BHARAT FORGE LTD.,Other Industrial Products
ESCORTS,ESCORTS LTD.,Commercial Vehicles
HINDMOTORS,HINDUSTAN MOTORS LTD.,Cars & Utility Vehicles
LT,LARSEN & TOUBRO LTD.,Construction & Engineering
M&M,MAHINDRA & MAHINDRA LTD.,Cars & Utility Vehicles
BOSCHLTD,BOSCH LTD.,Auto Parts & Equipment
PREMIER,PREMIER LTD.,Industrial Machinery
BPCL,BHARAT PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
SIEMENS,SIEMENS LTD.,Heavy Electrical Equipment
TATAMOTORS,TATA MOTORS LTD.,Commercial Vehicles
VOLTAS,VOLTAS LTD.,Consumer Electronics
GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Shipping
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Commodity Chemicals
EXCELINDUS,EXCEL INDUSTRIES LTD.,Specialty Chemicals
GARWARPOLY,GARWARE POLYESTER LTD.,Commodity Chemicals
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Pharmaceuticals
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Fertilizers
NOVARTIND,NOVARTIS INDIA LTD.,Pharmaceuticals
SANOFI,Sanofi India Ltd,Pharmaceuticals
GSKCONS,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,Packaged Foods
PFIZER,PFIZER LTD.,Pharmaceuticals
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Fertilizers
HINDUNILVR,HINDUSTAN UNILEVER LTD.,Personal Products
AKZOINDIA,Akzo Nobel India Limited,Furniture-Furnishing-Paints
NOCIL,NOCIL LTD.,Specialty Chemicals
TATACHEM,TATA CHEMICALS LTD.,Commodity Chemicals
TNPETRO,TAMILNADU PETROPRODUCTS LTD.,Commodity Chemicals
ZUARIGLOB,ZUARI GLOBAL LTD.,Fertilizers
NESTLEIND,NESTLE INDIA LTD.,Packaged Foods
TATACONSUM,Tata Consumer Products Ltd,Tea & Coffee
ASIANPAINT,ASIAN PAINTS LTD.,Furniture-Furnishing-Paints
BRITANNIA,BRITANNIA INDUSTRIES LTD.,Packaged Foods
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Personal Products
EIHOTEL,EIH LTD.,Hotels
INDHOTEL,INDIAN HOTELS CO.LTD.,Hotels
CASTROLIND,CASTROL INDIA LTD.,Oil Marketing & Distribution
ITC,ITC LTD.,Cigarettes-Tobacco Products
APOLLOTYRE,APOLLO TYRES LTD.,Auto Tyres & Rubber Products
CEATLTD,CEAT LTD.,Auto Tyres & Rubber Products
MODIRUBBER,MODI RUBBER LTD.,Auto Tyres & Rubber Products
FINOLEXIND,FINOLEX INDUSTRIES LTD.,Plastic Products
SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,Other Financial Services
ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,Comm.Trading  & Distribution
PEOPLIN,PEOPLES INVESTMENTS LTD.,Diversified Commercial Services
DSINVEST,DALAL STREET INVESTMENTS LTD.,Investment Companies
CENTRUM,CENTRUM CAPITAL LTD.,Other Financial Services
TCIFINANCE,TCI FINANCE LTD.,Finance (including NBFCs)
KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,Other Financial Services
ANTARIKSH,Antariksh Industries Ltd,Realty
IITL,INDUSTRIAL INVESTMENT TRUST LTD.,Finance (including NBFCs)
INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Investment Companies
TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Holding Companies
JAYBHCR,JAYABHARAT CREDIT LTD.-$,Finance (including NBFCs)
PRISMX,Prismx Global Ventures Ltd,Comm.Trading  & Distribution
MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,Finance (including NBFCs)
RAPIDIN,RAPID INVESTMENTS LTD.,Diversified Commercial Services
WALCHPF,WALCHAND PEOPLEFIRST LTD.,Consulting Services
ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Other Financial Services
WHBRADY,W.H.BRADY & CO.LTD.,Comm.Trading  & Distribution
SHAILY,SHAILY ENGINEERING PLASTICS LTD.,Plastic Products
BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Tea & Coffee
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,Comm.Trading  & Distribution
GREAVESCOT,GREAVES COTTON LTD.,Industrial Machinery
MULLER,MULLER & PHIPPS (INDIA) LTD.,Comm.Trading  & Distribution
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,Diversified Commercial Services
ANANDPROJ,Anand Projects Ltd,Construction & Engineering
INDIANVSH,INDIANIVESH LTD.,Finance (including NBFCs)
COASTCORP,COASTAL CORPORATION LTD.,Packaged Foods
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,Shipping
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,Shipping
DHENUBUILD,DHENU BUILDCON INFRA LTD.,Finance (including NBFCs)
ASIIL,ASI Industries Ltd,Mining
SAGCEM,SAGAR CEMENTS LTD.-$,Cement & Cement Products
DECCANCE,DECCAN CEMENTS LTD.-$,Cement & Cement Products
MANGLMCEM,MANGALAM CEMENT LTD.,Cement & Cement Products
NCLIND,NCL INDUSTRIES LTD.-$,Cement & Cement Products
SAURASHCEM,SAURASHTRA CEMENT LTD.,Cement & Cement Products
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,Cement & Cement Products
BOMBPOT,BOMBAY POTTERIES & TILES LTD.,Realty
BORORENEW,Borosil Renewables Ltd,Houseware
LERTHAI,Lerthai Finance Ltd,Construction Materials
TRIVENIGQ,TRIVENI GLASS LTD.-$,Construction Materials
NILACHAL,NILACHAL REFRACTORIES LTD.,Construction Materials
ANDHRAPAP,Andhra Paper Ltd,Paper & Paper Products
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,Auto Tyres & Rubber Products
ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,Paper & Paper Products
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,Realty
ROLLT,ROLLATAINERS LTD.,Containers & Packaging
SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,Paper & Paper Products
SOLIDCO,SOLID CONTAINERS LTD.,Paper & Paper Products
SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.,Paper & Paper Products
NATHIND,Nath Industries Ltd,Paper & Paper Products
VAPIPPR,VAPI PAPER MILLS LTD.,Paper & Paper Products
SINTEX,SINTEX INDUSTRIES LTD.,Textiles
DCM,DCM LTD.,Other Industrial Products
ZGAEKWAR,GAEKWAR MILLS LTD.,Textiles
FORBESCO,FORBES & COMPANY LTD.-$,Industrial Machinery
HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,Textiles
UNITEDINT,UNITED INTERACTIVE LTD.,Internet Software & Services
JAMSHRI,Jamshri Realty Ltd-$,Textiles
KATRSPG,KATARE SPINNING MILLS LTD.,Textiles
KESORAMIND,KESORAM INDUSTRIES LTD.,Diversified
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$,Textiles
VTL,VARDHMAN TEXTILES LTD.,Textiles
MODERN,MODERN INDIA LTD.-$,Comm.Trading  & Distribution
PENINLAND,PENINSULA LAND LTD.,Realty
PHOENIXLTD,The Phoenix Mills Ltd,Realty
MARATHON,MARATHON NEXTGEN REALTY LTD.,Realty
RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.,Diversified
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,Textiles
RUBYMILLS,RUBY MILLS LTD.,Textiles
SIMPLXREA,SIMPLEX REALTY LTD.,Realty
SWANENERGY,SWAN ENERGY LTD.,Textiles
VICTMILL,VICTORIA MILLS LTD.,Textiles
ZSVTRADI,S.V.TRADING & AGENCIES LTD.,Other Financial Services
ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.,Other Financial Services
SALSAIN,SHREE SALASAR INVESTMENT LTD.,Other Financial Services
INDSOYA,INDSOYA LTD.,Diversified Commercial Services
ZODIACVEN,Zodiac Ventures Limited,Consulting Services
VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.,Electric Utilities
SW1,SW Investments Ltd,Diversified Commercial Services
TILAK,Tilak Ventures Ltd,Investment Companies
KKFIN,K K Fincorp Limited,Diversified Commercial Services
UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.,Other Financial Services
WAGEND,Wagend Infra Venture Limited,Diversified Commercial Services
ELCIDIN,ELCID INVESTMENTS LTD.,Diversified Commercial Services
HEALINV,HEALTHY INVESTMENTS LTD.,Diversified Commercial Services
SAHARA,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,Broadcasting & Cable TV
SHRENTI,SHREENATH INVESTMENTS CO.LTD.,Diversified Commercial Services
BANSWRAS,BANSWARA SYNTEX LTD.-$,Textiles
MODWOOL,MODELLA WOOLLENS LTD.,Comm.Trading  & Distribution
MODIPON,MODIPON LTD.,Agrochemicals
SHRIDINE,SHRI DINESH MILLS LTD.-$,Textiles
SRF,SRF LTD.,Diversified
SIYSIL,SIYARAM SILK MILLS LTD.-$,Textiles
SWADPOL,SWADESHI POLYTEX LTD.,Textiles
FOMEHOT,FOMENTO RESORTS & HOTELS LTD.,Hotels
SHRAJSYNQ,SHREE RAJASTHAN SYNTEX LTD.-$,Textiles
SHRMFGC,SHREE MANUFACTURING CO.LTD.,Textiles
ZSATYASL,SATYAM SILK MILLS LTD.,Other Financial Services
BBL,BHARAT BIJLEE LTD.-$,Other Elect.Equip./ Prod.
ELPROINTL,ELPRO INTERNATIONAL LTD.,Other Elect.Equip./ Prod.
EMCO,EMCO LTD.-$,Heavy Electrical Equipment
GEE,GEE LTD.,Other Industrial Goods
HIRECT,HIND RECTIFIERS LTD.,Electronic Components
NIPPOBATRY,INDO-NATIONAL LTD.,Non-Durable Household Prod.
ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,IT Consulting & Software
JYOTI,JYOTI LTD.-$,Heavy Electrical Equipment
JSLINDL,JSL INDUSTRIES LTD.,Other Elect.Equip./ Prod.
KAYCEEI,KAYCEE INDUSTRIES LTD.,Other Elect.Equip./ Prod.
INDOKEM,INDOKEM LTD.,Specialty Chemicals
PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$,Non-Durable Household Prod.
NELCO,NELCO LTD.,IT Networking Equipment
PERMAGN,PERMANENT MAGNETS LTD.-$,Other Industrial Goods
HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.,Non-Durable Household Prod.
STDBAT,STANDARD BATTERIES LTD.,Finance (including NBFCs)
UNIVCABLES,UNIVERSAL CABLES LTD.,Other Elect.Equip./ Prod.
WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,Industrial Machinery
DLTNCBL,DELTON CABLES LTD.,Other Elect.Equip./ Prod.
LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,Other Elect.Equip./ Prod.
MODULEX,Modulex Construction Technologies Ltd,Construction & Engineering
DELTAMAGNT,Delta Manufacturing Ltd,Other Elect.Equip./ Prod.
PAZEL,Pazel International Ltd,Comm.Trading  & Distribution
CONFINT,Confidence Finance And Trading Limited,Other Financial Services
RELTD,Ravindra Energy Ltd,Other Financial Services
GDTRAGN,G.D.TRADING & AGENCIES LTD.,Other Financial Services
EMPOWER,EMPOWER INDIA LTD.,IT Consulting & Software
ZMULTIPU,MULTIPURPOSE TRADING & AGENCIES LTD.,Diversified Commercial Services
REMISIN,REMI SALES & ENGINEERING LTD.,Comm.Trading  & Distribution
RIDHISYN,RIDHI SYNTHETICS LTD.,Other Financial Services
